Catalog ID,PlateID,Well,MW (desalted),ClogP,HBD,TPSA,RotBonds,ID,SMILES
Z335307672,1224024-R-01,A02,277.236,-0.430,2,136.600,3,,N#Cc1cn(C2CC2)c(=O)n(CC(=O)NC(N)=O)c1=O
Z335307638,1224024-R-01,A03,290.318,1.239,1,93.510,5,,CC(C)CNC(=O)Cn1c(=O)c(C#N)cn(C2CC2)c1=O
Z362692468,1224024-R-01,A04,249.309,0.982,1,61.770,3,,O=C(Cn1cccnc1=O)NC1CCCCCC1
Z271108958,1224024-R-01,A05,235.282,1.026,1,54.460,3,,CCC(=O)Nc1ccc(N2CCOCC2)cn1
Z254610870,1224024-R-01,A06,261.363,0.969,1,46.920,5,,Cc1nn(C)c(C)c1CC(=O)NC(C1CC1)C1CC1
Z237457878,1224024-R-01,A07,266.359,0.334,1,49.410,5,,Cc1csc(=O)n1CC(=O)NC(C1CC1)C1CC1
Z275511484,1224024-R-01,A08,302.292,2.376,1,49.410,4,,O=C(Cn1cccc(C(F)(F)F)c1=O)NC1CCCCC1
Z281149622,1224024-R-01,A09,330.401,0.458,1,72.190,5,,CS(=O)(=O)Cc1nc2ccccc2n1CC(O)c1ccccc1
Z402607382,1224024-R-01,A10,289.373,0.902,2,70.560,5,,Cc1nc(C)c(CC(=O)NCCC2=CCCCC2)c(=O)[nH]1
Z452541968,1224024-R-01,A11,282.337,2.309,1,47.280,6,,OCCc1nc2ccccc2n1CCOc1ccccc1
Z139934992,1224024-R-01,B02,239.271,0.245,2,78.510,5,,CC(C)CCNC(=O)Cn1ccc(=O)[nH]c1=O
Z335307622,1224024-R-01,B03,290.318,1.149,1,93.510,5,,CCC(C)NC(=O)Cn1c(=O)c(C#N)cn(C2CC2)c1=O
Z220314492,1224024-R-01,B04,334.413,-0.019,2,83.560,6,,CC(=O)NC(C(=O)NCc1ccc(N2CCOCC2)nc1)C(C)C
Z165209380,1224024-R-01,B05,328.194,3.404,1,53.930,6,,CCNc1cnn(CCOc2ccc(Cl)cc2)c(=O)c1Cl
Z228477372,1224024-R-01,B06,337.372,2.996,1,76.800,6,,CCn1c(=O)n(CC(O)COc2ccc(C#N)cc2)c2ccccc21
Z118405480,1224024-R-01,B07,307.388,1.189,1,71.000,5,,COCCn1nc(C(=O)NC2CCCCCCC2)ccc1=O
Z242914466,1224024-R-01,B08,241.310,0.076,2,85.080,5,,CCC(C)C(=O)Nc1nc(CC(N)=O)cs1
Z54493730,1224024-R-01,B09,228.315,1.287,2,87.050,5,,CC(C)OCCSc1nc(N)cc(N)n1
Z402614648,1224024-R-01,B10,251.325,-0.027,2,70.560,4,,Cc1nc(C)c(CC(=O)NC(C)C(C)C)c(=O)[nH]1
Z422683904,1224024-R-01,B11,291.389,1.968,1,52.650,5,,CC1CC(C)CN(CCNC(=O)Cn2ccccc2=O)C1
Z335307624,1224024-R-01,C02,290.318,1.019,1,93.510,4,,CC(C)(C)NC(=O)Cn1c(=O)c(C#N)cn(C2CC2)c1=O
Z356369148,1224024-R-01,C03,287.274,-0.271,1,117.300,5,,N#CCCNC(=O)Cn1c(=O)c(C#N)cn(C2CC2)c1=O
Z244356314,1224024-R-01,C04,348.440,0.290,2,83.560,6,,CC(NC(=O)C(C)(C)C)C(=O)NCc1ccc(N2CCOCC2)nc1
Z166730358,1224024-R-01,C05,280.366,2.663,2,70.400,4,,Cc1cc(NC(=O)NCC2(N(C)C)CCCCC2)no1
Z355428474,1224024-R-01,C06,327.378,1.170,1,85.920,5,,Cc1cccc(C)c1OCC(O)Cn1nc(C)c(C)c(C#N)c1=O
Z118408828,1224024-R-01,C07,293.361,0.590,1,71.000,5,,COCCn1nc(C(=O)NC2CCC(C)CC2)ccc1=O
Z29267768,1224024-R-01,C08,310.349,-0.270,2,104.970,5,,CCCCn1c(N)c(N(C)C(=O)C2CCCO2)c(=O)[nH]c1=O
Z368102856,1224024-R-01,C09,280.386,1.775,1,49.410,6,,O=C(Cn1ccccc1=O)NCCSC1CCCC1
Z402622996,1224024-R-01,C10,291.389,1.356,2,70.560,3,,Cc1nc(C)c(CC(=O)NC2CCCCCCC2)c(=O)[nH]1
Z254540308,1224024-R-01,C11,235.282,1.452,1,54.460,3,,CN(C)c1ccc(NC(=O)C2CCCO2)cn1
Z335307796,1224024-R-01,D02,291.263,0.088,2,122.610,3,,CNC(=O)NC(=O)Cn1c(=O)c(C#N)cn(C2CC2)c1=O
Z356368416,1224024-R-01,D03,262.265,0.311,1,93.510,4,,CCNC(=O)Cn1c(=O)c(C#N)cn(C2CC2)c1=O
Z362693220,1224024-R-01,D04,249.309,0.942,1,61.770,3,,CC1CCC(NC(=O)Cn2cccnc2=O)CC1
Z280576586,1224024-R-01,D05,303.744,0.801,1,76.690,3,,Cc1nn(CC(O)c2ccc(Cl)cc2)c(=O)c(C#N)c1C
